"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","DataValueUnit","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","GeoLocation","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1"
2013,2013,"MT","Montana","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(47.06652897200047, -109.42442064499971)","30","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"MT","Montana","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(47.06652897200047, -109.42442064499971)","30","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2013,2013,"NC","North Carolina","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(35.466220975000454, -79.15925046299964)","37","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2014,2014,"NY","New York","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","78.5",78.5,NA,NA,76,80.8,"Overall","Overall","(42.82700103200045, -75.54397042699964)","36","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2014,2014,"OH","Ohio","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","75.8",75.8,NA,NA,73.6,77.9,"Overall","Overall","(40.06021014100048, -82.40426005599966)","39","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2014,2014,"OH","Ohio","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","75.8",75.8,NA,NA,73.5,77.9,"Overall","Overall","(40.06021014100048, -82.40426005599966)","39","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2014,2014,"OK","Oklahoma","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","70",70,NA,NA,67.8,72.1,"Overall","Overall","(35.47203135600046, -97.52107021399968)","40","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"VI","Virgin Islands","BRFSS","Cancer","Papanicolaou smear use among adult women aged 21-65 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(18.335765, -64.896335)","78","CAN","CAN2_1","CrdPrev","OVERALL","OVR"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","OTH"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","OTH"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","MRC"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","MRC"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","68.4",68.4,NA,NA,64.6,72.1,"Overall","Overall","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","White, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","WHT"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Black, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","BLK"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Black, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","BLK"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","HIS"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2013,2013,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","White, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","WHT"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","68.8",68.8,NA,NA,65.1,72.4,"Overall","Overall","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","66.1",66.1,NA,NA,62,69.9,"Race/Ethnicity","White, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","WHT"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","66.3",66.3,NA,NA,62.3,70.1,"Race/Ethnicity","White, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","WHT"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","BLK"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","BLK"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","HIS"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","HIS"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","76.7",76.7,NA,NA,64.6,85.5,"Race/Ethnicity","Other, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","OTH"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","76.6",76.6,NA,NA,65.7,84.9,"Race/Ethnicity","Other, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","OTH"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","CrdPrev","RACE","MRC"
2014,2014,"AK","Alaska","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(64.84507995700051, -147.72205903599973)","02","CAN","CAN1_0","AgeAdjPrev","RACE","MRC"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","83.4",83.4,NA,NA,75.2,89.2,"Overall","Overall","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","82.9",82.9,NA,NA,74.2,89,"Overall","Overall","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","78.5",78.5,NA,NA,67.7,86.4,"Race/Ethnicity","White, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","WHT"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","77",77,NA,NA,65.1,85.7,"Race/Ethnicity","White, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","WHT"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","BLK"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","BLK"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","HIS"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","HIS"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","OTH"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","OTH"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","MRC"
2013,2013,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","MRC"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","77",77,NA,NA,74.8,79,"Overall","Overall","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","76.5",76.5,NA,NA,74.3,78.6,"Overall","Overall","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","76.3",76.3,NA,NA,73.8,78.6,"Race/Ethnicity","White, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","WHT"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","75.9",75.9,NA,NA,73.3,78.2,"Race/Ethnicity","White, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","WHT"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","81.9",81.9,NA,NA,77.8,85.4,"Race/Ethnicity","Black, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","BLK"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","80.8",80.8,NA,NA,76.5,84.5,"Race/Ethnicity","Black, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","BLK"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","HIS"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","HIS"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","OTH"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","OTH"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","CrdPrev","RACE","MRC"
2014,2014,"AL","Alabama","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(32.84057112200048, -86.63186076199969)","01","CAN","CAN1_0","AgeAdjPrev","RACE","MRC"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","White, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","WHT"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","White, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","WHT"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Black, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","BLK"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Black, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","BLK"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","HIS"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","OTH"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","OTH"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","MRC"
2013,2013,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","MRC"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","68.1",68.1,NA,NA,64.8,71.3,"Overall","Overall","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","67.1",67.1,NA,NA,63.6,70.3,"Overall","Overall","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","OVERALL","OVR"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","68.2",68.2,NA,NA,64.6,71.6,"Race/Ethnicity","White, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","WHT"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","66.8",66.8,NA,NA,63,70.4,"Race/Ethnicity","White, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","WHT"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence","74.1",74.1,NA,NA,64.5,81.8,"Race/Ethnicity","Black, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","BLK"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence","75.1",75.1,NA,NA,67.2,81.7,"Race/Ethnicity","Black, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","BLK"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","HIS"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","HIS"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","OTH"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Other, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","OTH"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","CrdPrev","RACE","MRC"
2014,2014,"AR","Arkansas","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Age-adjusted Prevalence",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic","(34.74865012400045, -92.27449074299966)","05","CAN","CAN1_0","AgeAdjPrev","RACE","MRC"
2013,2013,"AZ","Arizona","BRFSS","Cancer","Mammography use among women aged 50-74 years","%","Crude Prevalence",NA,NA,"-","No data available",NA,NA,"Overall","Overall","(34.865970280000454, -111.76381127699972)","04","CAN","CAN1_0","CrdPrev","OVERALL","OVR"
